city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
Batticaloa,33.36,7.7102,81.6924,49,72,2.95,LK,1657878931
San Patricio,26.8,28.017,-97.5169,78,26,2.2,US,1657878933
Tevaitoa,24.69,-16.7833,-151.5,64,100,9.49,PF,1657878795
Sisimiut,6.86,66.9395,-53.6735,76,22,3.91,GL,1657878937
Bongouanou,23.92,6.6486,-4.1992,86,99,1.84,CI,1657878941
Isangel,21.06,-19.55,169.2667,88,98,3.6,VU,1657878944
Ensley,23.0,30.5188,-87.2728,93,100,2.45,US,1657878946
Bandarbeyla,31.93,9.4942,50.8122,50,98,14.44,SO,1657878948
Yangi Marg`ilon,36.4,40.4272,71.7189,15,0,2.06,UZ,1657878950
Cabras,30.24,39.93,8.5314,42,0,3.99,IT,1657878952
Palmer,14.23,42.1584,-72.3287,85,0,0.0,US,1657878954
Kutum,28.86,14.2,24.6667,42,78,1.58,SD,1657878956
Kandrian,25.75,-6.2167,149.55,84,100,7.42,PG,1657878958
Como,32.55,45.81,9.0874,45,2,1.34,IT,1657878720
Fasa,35.58,28.9383,53.6482,5,0,4.12,IR,1657878963
Yar-Sale,21.59,66.8333,70.8333,37,0,4.83,RU,1657878965
Tocopilla,13.24,-22.092,-70.1979,57,0,1.59,CL,1657878787
Maragogi,23.88,-9.0122,-35.2225,82,41,3.23,BR,1657878969
Clyde River,5.13,70.4692,-68.5914,87,0,2.06,CA,1657878971
Craig,15.21,40.5153,-107.5464,80,100,1.29,US,1657878973
Minuri,28.45,16.535,121.8574,84,66,0.91,PH,1657878975
Toora-Khem,16.5,52.4675,96.11,63,69,2.0,RU,1657878977
Yangambi,32.6,0.8102,24.4336,43,83,0.95,CD,1657878980
Soe,17.34,-9.8607,124.284,82,79,2.73,ID,1657878982
Sheridan,17.73,44.8333,-106.9173,53,72,1.6,US,1657878984
Onega,22.65,63.9061,38.1404,50,100,2.52,RU,1657878986
Houston,24.97,29.7633,-95.3633,89,40,0.0,US,1657878746
Mahibadhoo,28.7,3.7833,72.9667,73,100,4.53,MV,1657878992
Porto-Novo,26.9,6.4965,2.6036,69,64,4.79,BJ,1657878994
Touros,23.38,-5.1989,-35.4608,84,20,6.14,BR,1657878996
Haines Junction,9.97,60.7522,-137.5108,87,100,1.03,CA,1657878999
Hopelchén,23.82,19.7667,-89.85,92,99,1.84,MX,1657879003
Sioux Lookout,14.04,50.1001,-91.917,88,40,2.06,CA,1657879005
Puerto del Rosario,25.86,28.5004,-13.8627,61,20,7.72,ES,1657878838
Laas,26.31,46.6166,10.7002,35,3,1.07,IT,1657879009
Taltal,11.3,-25.4,-70.4833,73,0,2.36,CL,1657879012
Marinette,13.03,45.1,-87.6307,69,98,0.86,US,1657879014
Jardim,19.57,-21.4803,-56.1381,50,100,3.34,BR,1657879018
Conil,24.94,44.9673,3.7177,30,50,2.84,FR,1657879020
Bellavista,20.95,-7.0561,-76.5911,91,67,0.22,PE,1657879022
Brae,11.56,60.3964,-1.353,75,95,7.53,GB,1657879025
Praia,25.3,14.9215,-23.5087,61,75,4.63,CV,1657878955
Ngunguru,11.23,-35.6167,174.5,85,100,3.85,NZ,1657879029
Grand Gaube,24.65,-20.0064,57.6608,63,81,3.58,MU,1657879031
